Generation,Fitness,TimeTaken
2,76202936,4474
3,7.430304E+07,4404
4,7.010288E+07,4428
5,6.740312E+07,4703
6,6.420291E+07,4723
7,6.220292E+07,4345
8,58602964,4468
9,56902996,4472
10,55602976,4672
11,54403052,4443
12,53203136,4759
13,51603056,4754
14,50603136,5035
15,49903304,4593
16,48603224,4520
17,4.78031E+07,4270
18,46903304,4492
19,45603184,4562
20,4.550314E+07,4510
21,44903224,4393
22,4.440326E+07,4509
23,4.380318E+07,4532
24,4.220321E+07,4323
25,42103204,4512
26,41603292,4508
27,41003304,4329
28,40703292,4353
29,4.010326E+07,4479
30,39803256,4367
31,3.93033E+07,4322
32,39103256,4465
33,3.850329E+07,4408
34,38303292,4215
35,38003252,4421
36,3.730329E+07,4421
37,37003132,4301
38,3.670329E+07,4366
39,3.630329E+07,4452
40,3.600324E+07,4370
41,3.570333E+07,4304
42,3.550317E+07,4495
43,3.510329E+07,4367
44,35003204,4190
45,34703244,4429
46,3.440321E+07,4401
47,3.430325E+07,4277
48,3.410317E+07,4296
49,3.380316E+07,4387
50,33303278,4318
51,3.310324E+07,4308
52,32503206,4415
53,32303246,4446
54,32103248,4211
55,31803204,4353
56,31503166,4372
57,31003164,4353
58,3.100309E+07,4338
59,30703132,4383
60,30703086,4331
61,30603082,4211
62,30403094,4398
63,30203126,4409
64,30003168,4195
65,29903122,4336
66,29603124,4350
67,29403132,4327
68,2.940309E+07,4354
69,29203128,4404
70,29203038,4388
71,2.900305E+07,4195
72,29003046,4422
73,28903046,4431
74,28803046,4303
75,28703044,4300
76,28603038,4407
77,28303034,4361
78,28303034,4184
79,28203036,4434
80,28103038,4420
81,2.810303E+07,4350
82,28003028,4325
83,27903034,4477
84,27903034,4376
85,27902958,4285
86,27802996,4480
87,27702992,4450
88,2.760296E+07,4267
89,2.740304E+07,4389
90,27303036,4390
91,27303036,4289
92,27203034,4327
93,27102994,4392
94,27002994,4350
95,26802992,4212
96,2.670303E+07,4360
97,26702988,4343
98,26602986,4242
99,26602986,4398
100,26502984,4349
