Generation,Fitness,TimeTaken,BTB,BTB_TIME,CAN_SHARE_ROOM,DIFF_TIME,MEET_WITH,NHB,NHB_GTE,SAME_DAYS,SAME_INSTR,SAME_ROOM,SAME_START,SAME_TIME,SAME_STUDENTS,SPREAD,ROOM_CONFLICTS
2,38102908,5031,12,0,0,1,12,1,3,5,0,14,16,3,18,0,381
3,3.700277E+07,5188,12,0,0,1,11,1,3,5,0,14,14,2,18,0,370
4,34802716,5123,12,0,0,2,12,1,3,4,0,14,15,3,14,0,348
5,33502818,5225,12,0,0,2,12,1,3,5,0,15,15,3,15,0,335
6,3.130283E+07,5569,12,0,0,1,12,1,3,5,0,15,15,3,16,0,313
7,3.01028E+07,5142,12,0,0,0,12,1,3,5,0,15,15,2,17,0,301
8,28702784,5036,12,0,0,1,12,1,3,5,0,15,16,3,14,0,287
9,27502916,5120,12,0,0,2,12,1,3,5,0,15,15,3,17,0,275
10,26702778,5063,12,0,0,1,12,1,3,5,0,15,15,3,15,0,267
11,25602786,5222,12,0,0,1,12,1,3,5,0,15,15,2,16,0,256
12,2.510275E+07,4991,12,0,0,0,12,1,3,5,0,15,14,2,17,0,251
13,2.37028E+07,4994,12,0,0,1,12,1,3,5,0,15,15,2,16,0,237
14,23402754,4935,12,0,0,1,12,1,3,5,0,15,16,2,14,0,234
15,22702762,4985,12,0,0,1,12,1,3,5,0,15,16,2,14,0,227
16,21902756,5022,12,0,0,1,12,1,3,5,0,15,16,2,14,0,219
17,21502764,4955,12,0,0,1,12,1,3,5,0,15,16,2,14,0,215
18,20902754,4924,12,0,0,1,12,1,3,5,0,15,16,2,14,0,209
19,20502758,4975,12,0,0,1,12,1,3,5,0,15,16,2,14,0,205
20,20102748,5119,12,0,0,1,12,1,3,5,0,15,16,2,14,0,201
21,1.970275E+07,4974,12,0,0,1,12,1,3,5,0,15,16,2,14,0,197
22,1.910272E+07,4966,12,0,0,1,12,1,3,4,0,15,16,2,14,0,191
23,1.880272E+07,4939,12,0,0,1,12,1,3,4,0,15,16,2,14,0,188
24,18302754,4987,12,0,0,1,12,1,3,5,0,15,16,2,14,0,183
25,17902722,4900,12,0,0,1,12,1,3,4,0,15,16,2,14,0,179
26,17802682,4958,12,0,0,0,12,1,3,4,0,15,16,2,14,0,178
27,17502632,4899,12,0,0,0,12,1,3,4,0,15,14,2,15,0,175
28,1.730263E+07,5120,12,0,0,0,12,1,3,4,0,15,14,2,15,0,173
